06/Jul/1995,640
18/Jul/1995,465
05/Aug/1995,236
11/Aug/1995,263
12/Aug/1995,196
26/Aug/1995,366
28/Aug/1995,410
30/Aug/1995,571
11/Jul/1995,471
13/Jul/1995,532
17/Jul/1995,406
04/Aug/1995,346
14/Aug/1995,287
22/Jul/1995,192
09/Aug/1995,279
31/Aug/1995,526
04/Jul/1995,359
19/Jul/1995,639
27/Jul/1995,336
10/Aug/1995,315
17/Aug/1995,271
08/Jul/1995,302
10/Jul/1995,398
12/Jul/1995,471
23/Jul/1995,233
24/Jul/1995,328
03/Aug/1995,304
07/Aug/1995,537
16/Aug/1995,259
20/Aug/1995,312
05/Jul/1995,497
15/Aug/1995,327
19/Aug/1995,209
21/Aug/1995,305
25/Aug/1995,415
01/Jul/1995,316
15/Jul/1995,254
18/Aug/1995,256
07/Jul/1995,570
21/Jul/1995,334
06/Aug/1995,373
29/Aug/1995,420
09/Jul/1995,348
14/Jul/1995,413
25/Jul/1995,461
28/Jul/1995,94
22/Aug/1995,288
23/Aug/1995,345
27/Aug/1995,370
02/Jul/1995,291
13/Aug/1995,216
24/Aug/1995,420
20/Jul/1995,428
08/Aug/1995,391
03/Jul/1995,474
16/Jul/1995,257
26/Jul/1995,336
01/Aug/1995,243
